Exec 1,,,,Exec 2,,,,Exec 3,,,,Exec 4,,,,Exec 5,,,,Exec 6,,,,Exec 7,,,,Exec 8,,,,Exec 9,,,,Exec 10,,,,Exec 11,,,,Exec 12,,,,Exec 13,,,,Exec 14,,,,Exec 15,,,,Exec 16,,,,Exec 17,,,,Exec 18,,,,Exec 19,,,,Exec 20,,,,Exec 21,,,,Exec 22,,,,Exec 23,,,,Exec 24,,,,Exec 25,,,,Exec 26,,,,Exec 27,,,,Exec 28,,,,Exec 29,,,,Exec 30,,,,Média Guepard,Média Elephant,Média Middle,,Desvio Guepard,Desvio Elephant,Desvio Middle
16,4,10,,13,4,8,,20,5,12,,20,5,12,,20,4,12,,1,1,1,,5,1,4,,22,6,14,,3,1,1,,5,2,3,,12,4,9,,19,5,12,,19,5,12,,2,1,0,,16,4,9,,1,0,0,,17,5,11,,4,2,3,,19,5,12,,5,1,2,,15,4,10,,13,4,9,,18,5,11,,14,3,10,,15,3,9,,11,3,8,,15,3,9,,17,5,11,,12,3,7,,16,4,10,,"12,8333333333333","3,4","8,03333333333333",,"6,48650234284072","1,6103115997458","4,18934060594787"
99,25,63,,32,8,21,,39,10,24,,39,10,25,,99,26,62,,21,6,13,,25,6,15,,41,11,26,,22,6,14,,25,6,16,,100,25,62,,100,25,63,,100,25,63,,21,6,13,,99,25,62,,20,5,13,,37,10,23,,24,6,15,,38,10,24,,24,6,15,,34,9,22,,33,9,21,,37,10,23,,34,8,21,,35,8,21,,32,8,19,,34,8,21,,37,9,23,,32,8,20,,35,9,23,,"44,9333333333333","11,4333333333333","28,2",,"28,377909491829","7,15678281282065","17,8449258701275"
120,31,76,,100,25,63,,100,25,63,,59,15,37,,121,30,75,,40,11,25,,44,11,27,,100,25,63,,42,10,26,,44,11,28,,120,30,75,,120,30,75,,120,30,75,,40,10,26,,120,31,75,,39,10,25,,56,15,35,,44,11,28,,99,25,63,,43,11,27,,55,13,34,,53,13,33,,100,25,63,,100,25,62,,99,26,63,,51,13,31,,54,13,33,,100,25,63,,51,13,32,,100,25,62,,"77,8","19,6","48,7666666666667",,"31,8232185892519","8,03698347940792","19,9718480027182"
141,35,89,,120,30,75,,120,31,76,,78,20,50,,141,35,88,,61,15,38,,100,25,63,,120,30,76,,100,25,63,,100,25,63,,139,35,87,,140,35,88,,140,36,88,,100,25,62,,141,35,88,,59,15,37,,77,19,48,,63,16,40,,120,30,75,,100,26,62,,74,18,47,,100,25,63,,121,30,76,,121,31,76,,121,30,76,,100,25,63,,73,18,46,,120,30,75,,100,25,63,,121,30,75,,"107,033333333333","26,8333333333333","67,2",,"25,6185322647941","6,4545270578277","15,9900831336391"
160,40,100,,139,35,87,,141,36,89,,101,25,63,,160,40,100,,80,20,50,,121,30,76,,140,35,88,,119,30,75,,121,30,76,,160,40,100,,159,40,100,,159,41,100,,120,30,75,,160,40,100,,100,25,63,,97,24,60,,100,25,63,,140,35,88,,120,31,75,,100,25,62,,120,30,76,,141,36,89,,141,36,89,,141,35,88,,119,30,75,,101,26,63,,139,35,88,,120,31,75,,141,35,88,,"128,666666666667","32,3666666666667","80,7",,"22,7206928824248","5,76842375729091","14,3242018493419"
160,40,100,,158,40,100,,160,40,100,,122,30,76,,160,40,100,,100,25,63,,141,35,89,,160,40,100,,140,36,88,,141,35,88,,160,40,100,,159,40,101,,160,40,100,,141,35,88,,160,40,100,,120,30,76,,117,29,73,,120,30,75,,160,40,100,,140,36,88,,120,30,75,,141,35,89,,159,40,101,,159,41,100,,160,40,100,,139,35,88,,121,31,75,,159,40,100,,140,36,88,,160,40,100,,"144,566666666667","36,3","90,7",,"17,7738345722666","4,51167068986568","11,200831249941"
160,40,100,,160,40,100,,160,40,100,,142,36,89,,160,40,100,,120,30,76,,159,40,101,,160,40,100,,159,41,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,141,36,88,,137,34,86,,140,35,88,,160,40,100,,160,40,100,,140,36,88,,159,40,101,,159,40,101,,159,41,100,,160,40,100,,159,40,100,,141,36,88,,159,40,101,,160,40,100,,159,40,101,,"154,433333333333","38,8333333333333","96,9333333333333",,"10,2610187480155","2,53368116184437","6,41083852352503"
160,40,100,,160,40,100,,160,40,100,,160,40,100,,159,41,100,,141,35,89,,159,40,101,,160,40,100,,159,41,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,156,39,98,,159,40,101,,160,40,100,,160,40,100,,159,41,100,,159,40,101,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,159,41,100,,160,40,100,,160,40,100,,159,40,101,,"158,966666666667","39,9333333333333","99,7",,"3,48873392046686","1,01483252680985","2,08690498437114"
160,40,100,,160,40,100,,160,40,100,,160,40,100,,159,41,100,,159,41,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,159,40,101,,160,40,100,,160,40,100,,159,40,101,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,159,40,101,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,159,41,100,,"159,8","40,1","100,1",,"0,406838102172486","0,305128576629365","0,305128576629365"
160,40,100,,160,40,100,,101,45,112,,100,46,113,,107,46,113,,159,41,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,112,45,113,,123,45,112,,160,40,100,,159,40,101,,160,40,100,,160,40,100,,160,40,100,,108,45,113,,160,40,100,,160,40,100,,160,40,100,,160,40,100,,159,40,101,,160,40,100,,160,40,100,,160,40,100,,159,40,101,,160,40,100,,159,41,100,,"149,533333333333","41,1333333333333","102,633333333333",,"21,1606879057293","2,16131079852392","5,11578580159647"
